Type,Price,Sqm Price,Size,Living Area,Ground Area,Rooms,Ownership Expense,Year Built,Story,Energy Label,Longitude,Latitude,ZipCode,Drop_Rate,Age of Building,Price_W_Drop_Rate,Town
Villa,5.395.000,36.208,149,,287,6,3.791,1927,0, F,12.50842,55.70983,2700,5,95,5.125.250,Brønshøj
Villa,5.995.000,49.958,120,,377,4,5.329,1919,0, E,12.505699,55.70841,2700,14,103,5.155.700,Brønshøj
Villalejlighed,3.975.000,52.302,76,,,4,3.091,1927, 1, D,12.4952282,55.7003305,2700,6,95,3.736.500,Brønshøj
Ejerlejlighed,3.145.000,39.312,80,80,,3,2.532,1930,0, C,12.492628,55.705168,2700,7,92,2.924.850,Brønshøj
Ejerlejlighed,3.395.000,36.505,93,88,,4,3.461,1947, 1, D,12.478625,55.704164,2700,0,75,3.395.000,Brønshøj
Ejerlejlighed,2.150.000,31.159,69,64,,3,2.460,1962, 2, C,,,2700,14,60,1.849.000,Brønshøj
Ejerlejlighed,1.995.000,33.813,59,54,,2,3.021,1935, 1, D,12.49376,55.705023,2700,13,87,1.735.650,Brønshøj
Ejerlejlighed,2.050.000,37.962,54,49,,2,2.510,1934, 2, C,12.499026,55.696557,2700,5,88,1.947.500,Brønshøj
Ejerlejlighed,1.695.000,39.418,43,38,,2,2.486,1933, 2, E,12.496397,55.702759,2700,8,89,1.559.400,Brønshøj
Villalejlighed,2.295.000,30.197,76,,,4,2.910,1955, 1, C,12.4831516,55.7014336,2700,15,67,1.950.750,Brønshøj
Villa,5.399.000,44.991,120,,630,5,5.501,1928,0, C,12.468248,55.705005,2700,10,94,4.859.100,Brønshøj
Villa,4.795.000,42.061,114,,783,5,5.580,1927,0, E,12.465344,55.704179,2700,0,95,4.795.000,Brønshøj
Ejerlejlighed,2.595.000,33.269,78,71,,3,3.501,1959, 1, D,12.493291,55.705848,2700,7,63,2.413.350,Brønshøj
Ejerlejlighed,2.095.000,38.796,54,49,,2,2.319,1934,0, C,12.499253,55.695908,2700,9,88,1.906.450,Brønshøj
Ejerlejlighed,3.350.000,34.895,96,88,,4,3.704,1933, 2, C,12.497562,55.703339,2700,12,89,2.948.000,Brønshøj
Ejerlejlighed,2.295.000,25.500,90,85,,4,5.149,1958, 1, E,12.460257,55.715566,2700,6,64,2.157.300,Brønshøj
Villa,8.500.000,59.027,144,,553,6,5.883,1929,0, C,12.494425,55.695266,2700,9,93,7.735.000,Brønshøj
Ejerlejlighed,3.895.000,39.744,98,86,,3,4.721,1932, 3, D,12.4977378,55.7044915,2700,7,90,3.622.350,Brønshøj
Villa,7.995.000,59.664,134,,473,7,7.068,1919,0, D,12.5050632,55.7077614,2700,19,103,6.475.950,Brønshøj
Ejerlejlighed,2.895.000,34.879,83,74,,3,3.235,1932, 1, C,12.489446,55.706317,2700,9,90,2.634.450,Brønshøj
Villalejlighed,4.495.000,37.773,119,,,4,3.360,2011, 1, A10,12.4768045,55.7011567,2700,13,11,3.910.650,Brønshøj
Villa,7.995.000,54.020,148,,499,6,5.571,1940,0, C,12.481157,55.706204,2700,8,82,7.355.400,Brønshøj
Villa,7.195.000,49.620,145,,605,5,5.985,1937,0, C,12.50033,55.69741,2700,15,85,6.115.750,Brønshøj
Villalejlighed,6.495.000,36.083,180,,,8,4.601,1904, 1, D,12.5072253,55.7037662,2700,19,118,5.260.950,Brønshøj
Ejerlejlighed,3.995.000,34.439,116,111,,4,4.136,2006, 1, B,12.4917658,55.7055424,2700,8,16,3.675.400,Brønshøj
Ejerlejlighed,1.695.000,31.981,53,44,,2,3.513,1968, 1, D,12.5083865,55.704601,2700,15,54,1.440.750,Brønshøj
Villa,4.975.000,59.939,83,,396,3,4.614,1932,0, E,12.485284,55.706886,2700,10,90,4.477.500,Brønshøj
Villalejlighed,4.495.000,51.666,87,,,4,3.190,1932,0, D,12.462879,55.705151,2700,10,90,4.045.500,Brønshøj
Villa,8.495.000,53.093,160,,1050,6,8.232,1943,0, D,12.498282,55.70811,2700,26,79,6.286.300,Brønshøj
Villa,3.195.000,52.377,61,,280,3,4.319,1928,0, C,12.484823,55.707721,2700,20,94,2.556.000,Brønshøj
Fritidshus,3.250.000,108.333,30,,35440,2,785,1940,0,,12.50047,55.708223,2700,0,82,3.250.000,Brønshøj
Villa,4.500.000,31.468,143,,777,4,6.006,1928,0, F,12.480495,55.700045,2700,27,94,3.285.000,Brønshøj
Ejerlejlighed,2.595.000,38.731,67,60,,3,2.639,1907,0, E,12.507025,55.704311,2700,6,115,2.439.300,Brønshøj
Villa,4.995.000,60.180,83,,683,4,5.406,1954,0, D,12.475712,55.700721,2700,17,68,4.145.850,Smørum
Fritidshus,1.820.000,56.875,32,,232,1,786,1975,0,,12.50076,55.708988,2700,9,47,1.656.200,Brønshøj
Villa,4.295.000,49.941,86,,821,3,5.756,1956,0, D,12.478587,55.699375,2700,5,66,4.080.250,Brønshøj
Ejerlejlighed,1.698.000,36.127,47,42,,2,2.332,1933, 2, D,12.488515,55.703585,2700,15,89,1.443.300,Brønshøj
Villa,8.495.000,54.806,155,,578,7,6.151,1936,0, D,12.499579,55.702575,2700,6,86,7.985.300,Brønshøj
Ejerlejlighed,1.845.000,31.810,58,53,,2,2.346,1932,0, C,12.489962,55.706362,2700,12,90,1.623.600,Brønshøj
Villa,6.495.000,43.013,151,,681,7,7.016,1932,0, E,12.489156,55.69625,2700,24,90,4.936.200,Brønshøj
Ejerlejlighed,3.095.000,32.239,96,57,,4,2.379,1954, 2, D,12.4917658,55.7055424,2700,9,68,2.816.450,Brønshøj
Villalejlighed,4.695.000,38.801,121,,,5,2.711,1940, 1, C,12.4817865,55.7060434,2700,6,82,4.413.300,Brønshøj
Ejerlejlighed,2.598.000,27.062,96,92,,4,2.230,1898, 2, C,,,2700,16,124,2.182.320,Brønshøj
Ejerlejlighed,2.200.000,40.000,55,50,,2,3.747,1937, 1, D,12.506643,55.70426,2700,12,85,1.936.000,Brønshøj
Andelsbolig,1.995.000,0,96,,,3,,1929,0, D,,,2700,12,93,1.755.600,Brønshøj
Villalejlighed,3.495.000,54.609,64,,,2,2.761,1919, 1, E,12.5095379,55.7085818,2700,9,103,3.180.450,Brønshøj
Ejerlejlighed,18.000.000,124.137,145,137,,2,7.832,1918, 4, D,12.591342,55.680608,1051,0,104,18.000.000,København K
Andelsbolig,3.899.469,0,85,,,3,,1889, 2, C,12.589712,55.678909,1052,0,133,3.899.469,København K
Andelsbolig,5.950.000,0,125,,,4,,1873, 1, D,,,1053,1,149,5.890.500,København K
Andelsbolig,5.350.000,0,110,,,3,,1873,0, D,,,1053,0,149,5.350.000,København K
Ejerlejlighed,9.750.000,102.631,95,168,,3,3.840,1873,0, C,,,1053,0,149,9.750.000,København K
Ejerlejlighed,6.495.000,74.655,87,79,,3,3.426,1872, 4, C,,,1054,0,150,6.495.000,København K
Ejerlejlighed,7.495.000,59.015,127,119,,5,5.031,1872,0, C,,,1054,0,150,7.495.000,København K
Ejerlejlighed,10.295.000,73.014,141,132,,4,7.394,1877, 2, D,12.588126,55.67757,1055,0,145,10.295.000,København K
Ejerlejlighed,13.500.000,72.972,185,171,,4,6.795,1880, 5, D,12.588393,55.677229,1055,10,142,12.150.000,København K
Ejerlejlighed,10.000.000,69.930,143,132,,4,4.559,1796, 2,,,,1062,0,226,10.000.000,København K
Ejerlejlighed,3.795.000,55.808,68,62,,2,3.832,1798, 1,,12.582804,55.677701,1063,14,224,3.263.700,København K
Ejerlejlighed,5.395.000,74.930,72,128,,2,3.522,1800,0,,12.58224,55.67772,1066,21,222,4.262.050,København K
Ejerlejlighed,5.295.000,57.554,92,76,,4,5.510,1799, 2,,12.582446,55.678108,1068,0,223,5.295.000,København K
